session,context,subset,accuracy,p_uncorrected,ll,ul
sub-901,inter,max,0.8191489361702129,0.0,0.46696808510638294,0.5319148936170213
sub-901,intra_human,max,0.5765957446808511,0.004,0.4553191489361702,0.5468085106382979
sub-901,intra_monkey,max,0.548936170212766,0.037,0.451063829787234,0.5447872340425532
sub-902,inter,max,0.9125,0.0,0.4666666666666667,0.5333333333333333
sub-902,intra_human,max,0.5479166666666666,0.038,0.4541666666666666,0.5437500000000001
sub-902,intra_monkey,max,0.6166666666666666,0.0,0.45833333333333337,0.54375
