sub-001,sub-002,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-028,sub-030,sub-032,sub-033,sub-034,sub-035,sub-036,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,species
0.5120000000000001,0.512012987012987,0.4922619047619047,0.5147435897435898,0.5349999999999999,0.4680147058823529,0.47142857142857136,0.46029411764705885,0.46452380952380956,0.5087944664031621,0.5049876847290641,0.5611660079051384,0.5057142857142857,0.5324735449735449,0.5642857142857143,0.5410526315789473,0.5266666666666667,0.4984848484848484,0.5444444444444445,0.5048850574712643,0.5399999999999999,0.5157894736842106,0.5409090909090909,0.47071428571428564,0.5137254901960785,0.5133064516129032,0.49423076923076936,0.42777777777777776,0.5554761904761906,0.5241758241758243,0.44722222222222224,0.50625,0.542,0.43888888888888894,0.5147916666666666,0.5182894736842105,0.4766129032258065,0.41228070175438597,inter
0.51,0.5143939393939394,0.4996428571428571,0.5165954415954416,0.5399999999999999,0.4556985294117647,0.47142857142857136,0.4696691176470589,0.47404761904761905,0.5156126482213439,0.4959975369458129,0.5501976284584981,0.5266666666666666,0.5287037037037037,0.5428571428571429,0.535921052631579,0.5266666666666667,0.4912337662337663,0.5444444444444444,0.5016091954022988,0.5480263157894736,0.5105263157894737,0.5454545454545454,0.47023809523809523,0.513562091503268,0.5132560483870968,0.5060897435897436,0.44558823529411773,0.5419047619047619,0.5280219780219781,0.45833333333333337,0.5125,0.5400000000000001,0.43888888888888894,0.5083333333333332,0.5106578947368422,0.4782258064516129,0.40701754385964906,inter
0.518,0.5215367965367965,0.49488095238095237,0.5160256410256411,0.5399999999999999,0.46819852941176465,0.45714285714285713,0.4818014705882353,0.4909523809523809,0.5155138339920948,0.49248768472906407,0.541403162055336,0.5195238095238095,0.5322089947089946,0.5357142857142857,0.5514473684210527,0.5100000000000001,0.4796536796536797,0.5425925925925926,0.5066091954022989,0.5403947368421053,0.5078947368421052,0.5363636363636364,0.4704761904761905,0.5137254901960785,0.5068044354838709,0.5019230769230769,0.4397058823529412,0.5521428571428572,0.5241758241758242,0.46111111111111114,0.5145833333333334,0.54,0.4444444444444445,0.515,0.4947368421052632,0.4765053763440861,0.4013157894736842,inter
0.526,0.5074675324675325,0.49714285714285716,0.5215099715099715,0.52,0.4588235294117647,0.4607142857142857,0.5099264705882354,0.5028571428571429,0.5086956521739131,0.4888546798029556,0.5368577075098815,0.5230952380952381,0.5265873015873016,0.5357142857142857,0.5539473684210527,0.5166666666666666,0.47467532467532464,0.5296296296296297,0.5081609195402298,0.5349999999999999,0.5078947368421052,0.55,0.4666666666666667,0.5084967320261438,0.5100806451612903,0.5092948717948718,0.44297385620915025,0.5423809523809524,0.5395604395604395,0.455718954248366,0.50625,0.5280000000000001,0.47222222222222215,0.5283333333333333,0.4925,0.479731182795699,0.4067251461988303,inter
0.524,0.5097402597402597,0.5042857142857143,0.5197293447293447,0.52,0.44650735294117644,0.4428571428571428,0.5194852941176471,0.49797619047619046,0.5086956521739129,0.48528325123152705,0.5237154150197629,0.5159523809523809,0.5212301587301587,0.5428571428571428,0.5667105263157894,0.53,0.47478354978354986,0.5166666666666667,0.4929310344827586,0.527236842105263,0.5289473684210526,0.5454545454545455,0.4704761904761905,0.517156862745098,0.5116431451612903,0.5048076923076923,0.44607843137254904,0.549047619047619,0.5318681318681319,0.4612745098039216,0.5,0.532,0.48888888888888876,0.5383333333333333,0.4821052631578947,0.47811827956989256,0.4125730994152047,inter
0.5280000000000001,0.5191558441558441,0.506547619047619,0.5196581196581196,0.5149999999999999,0.44025735294117646,0.4428571428571429,0.5130514705882353,0.5028571428571429,0.5086956521739129,0.4835591133004926,0.5303359683794466,0.5126190476190475,0.5159391534391534,0.5428571428571429,0.5561842105263157,0.52,0.49393939393939396,0.5166666666666667,0.4945402298850575,0.5430263157894737,0.5342105263157895,0.5363636363636364,0.4735714285714285,0.5055555555555555,0.5242439516129033,0.5044871794871794,0.4547385620915033,0.5592857142857144,0.5241758241758242,0.4612745098039216,0.5083333333333333,0.538,0.4833333333333332,0.5416666666666666,0.48986842105263156,0.47172043010752696,0.42631578947368426,inter
0.526,0.524025974025974,0.4990476190476191,0.5122507122507123,0.53,0.4306985294117647,0.4428571428571428,0.5193014705882353,0.5053571428571428,0.5065217391304347,0.47653940886699503,0.5238142292490118,0.5126190476190475,0.50489417989418,0.5428571428571428,0.5535526315789474,0.5266666666666666,0.5055194805194805,0.5055555555555555,0.4979885057471264,0.5380263157894737,0.5394736842105263,0.5409090909090909,0.4735714285714286,0.5053921568627451,0.5226310483870968,0.5121794871794871,0.4517973856209151,0.5659523809523809,0.528021978021978,0.48349673202614374,0.5062499999999999,0.55,0.4833333333333332,0.5483333333333332,0.48473684210526313,0.4716666666666667,0.44269005847953224,inter
0.5240000000000001,0.5194805194805194,0.5016666666666666,0.5179487179487179,0.53,0.4115808823529411,0.4571428571428572,0.5375,0.510357142857143,0.5043478260869565,0.4820812807881773,0.5281620553359684,0.5090476190476191,0.5012566137566138,0.5285714285714285,0.5588157894736842,0.5266666666666666,0.49859307359307364,0.5018518518518518,0.4894827586206897,0.5328947368421052,0.5236842105263158,0.5409090909090909,0.4769047619047619,0.5050653594771242,0.5242439516129032,0.4926282051282051,0.4547385620915033,0.5792857142857143,0.528021978021978,0.48349673202614374,0.5083333333333333,0.552,0.48888888888888893,0.5552083333333334,0.4844736842105263,0.46844086021505377,0.4454678362573099,inter
0.516,0.5125541125541125,0.5017857142857144,0.5253561253561253,0.535,0.39283088235294117,0.44642857142857134,0.5279411764705882,0.5152380952380953,0.5113636363636364,0.4878694581280788,0.517094861660079,0.5304761904761905,0.5178571428571429,0.5357142857142856,0.5638157894736842,0.5399999999999999,0.5151515151515152,0.4870370370370371,0.49287356321839076,0.5406578947368421,0.5210526315789474,0.5409090909090909,0.47714285714285715,0.4928104575163399,0.5289818548387096,0.4967948717948717,0.4549019607843137,0.5857142857142856,0.5395604395604395,0.48660130718954253,0.5104166666666666,0.5480000000000002,0.48888888888888893,0.5647916666666667,0.49499999999999994,0.46521505376344086,0.4536549707602339,inter
0.522,0.5077922077922078,0.5091666666666667,0.5272792022792023,0.53,0.39595588235294116,0.4571428571428572,0.5248161764705882,0.513095238095238,0.5181818181818183,0.48971674876847293,0.5192687747035574,0.526904761904762,0.5047619047619047,0.5357142857142856,0.5926315789473684,0.5466666666666666,0.5270562770562771,0.49259259259259264,0.4961494252873564,0.5432894736842104,0.5105263157894736,0.5454545454545454,0.4807142857142857,0.5013071895424838,0.520866935483871,0.4967948717948718,0.4431372549019607,0.5857142857142857,0.5318681318681319,0.48088235294117654,0.525,0.558,0.48888888888888893,0.558125,0.4872368421052631,0.4571505376344086,0.4590643274853802,inter
